able	abler	ablest
dingy	dingier	dingiest
dinky	dinkier	dinkiest
dire	direr	direst
dirty	dirtier	dirtiest
dishy	dishier	dishiest
dizzy	dizzier	dizziest
dotty	dottier	dottiest
doughy	doughier	doughiest
dowdy	dowdier	dowdiest
drab	drabber	drabbest
draughty	draughtier	draughtiest
dreamy	dreamier	dreamiest
dreary	drearier	dreariest
dressy	dressier	dressiest
drowsy	drowsier	drowsiest
drunk	drunker	drunkest
dry	drier	driest
dull	duller	dullest
dumb	dumber	dumbest
dumpy	dumpier	dumpiest
dusky	duskier	duskiest
dusty	dustier	dustiest
early	earlier	earliest
earthy	earthier	earthiest
easy	easier	easiest
edgy	edgier	edgiest
eerie	eerier	eeriest
eery	eerier	eeriest
empty	emptier	emptiest
faddy	faddier	faddiest
faint	fainter	faintest
fair	fairer	fairest
fancy	fancier	fanciest
far	farther	farthest
fast	faster	fastest
fat	fatter	fattest
fatty	fattier	fattiest
faulty	faultier	faultiest
feeble	feebler	feeblest
ferny	fernier	ferniest
few	fewer	fewest
fierce	fiercer	fiercest
filmy	filmier	filmiest
filthy	filthier	filthiest
fine	finer	finest
firm	firmer	firmest
fishy	fishier	fishiest
fit	fitter	fittest
fizzy	fizzier	fizziest
flabby	flabbier	flabbiest
flaky	flakier	flakiest
flashy	flashier	flashiest
flat	flatter	flattest
fleecy	fleecier	fleeciest
fleet	fleeter	fleetest
fleshy	fleshier	fleshiest
flimsy	flimsier	flimsiest
flinty	flintier	flintiest
floppy	floppier	floppiest
floury	flourier	flouriest
flowery	flowerier	floweriest
fluffy	fluffier	fluffiest
foamy	foamier	foamiest
foggy	foggier	foggiest
fond	fonder	fondest
foul	fouler	foulest
foxy	foxier	foxiest
frail	frailer	frailest
frank	franker	frankest
freaky	freakier	freakiest
free	freer	freest
fresh	fresher	freshest
friendly	friendlier	friendliest
frilly	frillier	frilliest
frisky	friskier	friskiest
frizzy	frizzier	frizziest
frosty	frostier	frostiest
frothy	frothier	frothiest
fruity	fruitier	fruitiest
frumpy	frumpier	frumpiest
fuggy	fuggier	fuggiest
full	fuller	fullest
funky	funkier	funkiest
funny	funnier	funniest
furry	furrier	furriest
fussy	fussier	fussiest
fuzzy	fuzzier	fuzziest
gamy	gamier	gamiest
gassy	gassier	gassiest
gaudy	gaudier	gaudiest
gauzy	gauzier	gauziest
gawky	gawkier	gawkiest
gay	gayer	gayest
gentle	gentler	gentlest
ghastly	ghastlier	ghastliest
giddy	giddier	giddiest
glad	gladder	gladdest
glassy	glassier	glassiest
glib	glibber	glibbest
gloomy	gloomier	gloomiest
glossy	glossier	glossiest
glum	glummer	glummest
godly	godlier	godliest
good	better	best
goodly	goodlier	goodliest
gooey	gooier	gooiest
goofy	goofier	goofiest
gory	gorier	goriest
gouty	goutier	goutiest
grand	grander	grandest
grassy	grassier	grassiest
grave	graver	gravest
gray	grayer	grayest
greasy	greasier	greasiest
great	greater	greatest
greedy	greedier	greediest
green	greener	greenest
grey	greyer	greyest
grim	grimmer	grimmest
grimy	grimier	grimiest
gritty	grittier	grittiest
groggy	groggier	groggiest
groovy	groovier	grooviest
grotty	grottier	grottiest
grouchy	grouchier	grouchiest
grubby	grubbier	grubbiest
gruff	gruffer	gruffest
grumpy	grumpier	grumpiest
guilty	guiltier	guiltiest
gummy	gummier	gummiest
gusty	gustier	gustiest
hairy	hairier	hairiest
handy	handier	handiest
happy	happier	happiest
hard	harder	hardest
hardy	hardier	hardiest
harsh	harsher	harshest
hasty	hastier	hastiest
haughty	haughtier	haughtiest
hazy	hazier	haziest
heady	headier	headiest
healthy	healthier	healthiest
hearty	heartier	heartiest
heavy	heavier	heaviest
hefty	heftier	heftiest
high	higher	highest
hilly	hillier	hilliest
hoarse	hoarser	hoarsest
hoary	hoarier	hoariest
holy	holier	holiest
homely	homelier	homeliest
horny	hornier	horniest
hot	hotter	hottest
huffy	huffier	huffiest
humble	humbler	humblest
hungry	hungrier	hungriest
husky	huskier	huskiest
icy	icier	iciest
idle	idler	idlest
inky	inkier	inkiest
itchy	itchier	itchiest
jaggy	jaggier	jaggiest
jaunty	jauntier	jauntiest
jazzy	jazzier	jazziest
jerky	jerkier	jerkiest
jolly	jollier	jolliest
jolty	joltier	joltiest
jowly	jowlier	jowliest
juicy	juicier	juiciest
jumpy	jumpier	jumpiest
jungly	junglier	jungliest
keen	keener	keenest
kind	kinder	kindest
kindly	kindlier	kindliest
kinky	kinkier	kinkiest
knobbly	knobblier	knobbliest
knotty	knottier	knottiest
lacy	lacier	laciest
lame	lamer	lamest
lanky	lankier	lankiest
large	larger	largest
late	later	latest
lazy	lazier	laziest
leafy	leafier	leafiest
leaky	leakier	leakiest
lean	leaner	leanest
lengthy	lengthier	lengthiest
lewd	lewder	lewdest
light	lighter	lightest
likely	likelier	likeliest
little	littler	littlest
lively	livelier	liveliest
loamy	loamier	loamiest
loathly	loathlier	loathliest
lofty	loftier	loftiest
lonely	lonelier	loneliest
long	longer	longest
loony	loonier	looniest
loose	looser	loosest
lordly	lordlier	lordliest
loud	louder	loudest
lousy	lousier	lousiest
lovely	lovelier	loveliest
low	lower	lowest
lowly	lowlier	lowliest
loyal	loyaller	loyallest
lucky	luckier	luckiest
lumpy	lumpier	lumpiest
lush	lusher	lushest
lusty	lustier	lustiest
mad	madder	maddest
mangy	mangier	mangiest
manly	manlier	manliest
marshy	marshier	marshiest
massy	massier	massiest
mealy	mealier	mealiest
mean	meaner	meanest
meaty	meatier	meatiest
meek	meeker	meekest
mellow	mellower	mellowest
mere	merer	merest
merry	merrier	merriest
messy	messier	messiest
mighty	mightier	mightiest
mild	milder	mildest
milky	milkier	milkiest
mingy	mingier	mingiest
minute	minuter	minutest
miry	mirier	miriest
misty	mistier	mistiest
moldy	moldier	moldiest
moody	moodier	moodiest
moony	moonier	mooniest
mossy	mossier	mossiest
mouldy	mouldier	mouldiest
mousy	mousier	mousiest
mucky	muckier	muckiest
muddy	muddier	muddiest
muggy	muggier	muggiest
murky	murkier	murkiest
mushy	mushier	mushiest
musky	muskier	muskiest
musty	mustier	mustiest
muzzy	muzzier	muzziest
narrow	narrower	narrowest
nasty	nastier	nastiest
natty	nattier	nattiest
naughty	naughtier	naughtiest
near	nearer	nearest
neat	neater	neatest
needy	needier	neediest
new	newer	newest
newsy	newsier	newsiest
nice	nicer	nicest
niffy	niffier	niffiest
nifty	niftier	niftiest
nimble	nimbler	nimblest
nippy	nippier	nippiest
noble	nobler	noblest
noisy	noisier	noisiest
nosy	nosier	nosiest
nutty	nuttier	nuttiest
odd	odder	oddest
oily	oilier	oiliest
old	older	oldest
oozy	oozier	ooziest
pale	paler	palest
pally	pallier	palliest
palmy	palmier	palmiest
paltry	paltrier	paltriest
pasty	pastier	pastiest
patchy	patchier	patchiest
paunchy	paunchier	paunchiest
peaky	peakier	peakiest
pearly	pearlier	pearliest
peaty	peatier	peatiest
pebbly	pebblier	pebbliest
perky	perkier	perkiest
pesky	peskier	peskiest
petty	pettier	pettiest
piggy	piggier	piggiest
pimply	pimplier	pimpliest
pink	pinker	pinkest
pithy	pithier	pithiest
plain	plainer	plainest
plucky	pluckier	pluckiest
plummy	plummier	plummiest
plump	plumper	plumpest
plush	plusher	plushest
plushy	plushier	plushiest
podgy	podgier	podgiest
poky	pokier	pokiest
polite	politer	politest
poor	poorer	poorest
posh	posher	poshest
potty	pottier	pottiest
pretty	prettier	prettiest
pricey	pricier	priciest
prickly	pricklier	prickliest
priestly	priestlier	priestliest
prim	primmer	primmest
princely	princelier	princeliest
prosy	prosier	prosiest
proud	prouder	proudest
pudgy	pudgier	pudgiest
puffy	puffier	puffiest
pulpy	pulpier	pulpiest
puny	punier	puniest
pure	purer	purest
quaint	quainter	quaintest
queasy	queasier	queasiest
queenly	queenlier	queenliest
queer	queerer	queerest
quick	quicker	quickest
quiet	quieter	quietest
racy	racier	raciest
rainy	rainier	rainiest
randy	randier	randiest
rare	rarer	rarest
rash	rasher	rashest
ratty	rattier	rattiest
ready	readier	readiest
red	redder	reddest
reedy	reedier	reediest
remote	remoter	remotest
rich	richer	richest
ripe	riper	ripest
risky	riskier	riskiest
rocky	rockier	rockiest
roomy	roomier	roomiest
ropey	ropier	ropiest
rosy	rosier	rosiest
rough	rougher	roughest
round	rounder	roundest
rowdy	rowdier	rowdiest
ruddy	ruddier	ruddiest
rude	ruder	rudest
rummy	rummer	rummest
runny	runnier	runniest
rushy	rushier	rushiest
rusty	rustier	rustiest
sad	sadder	saddest
safe	safer	safest
saintly	saintlier	saintliest
sallow	sallower	sallowest
salty	saltier	saltiest
sandy	sandier	sandiest
sane	saner	sanest
sappy	sappier	sappiest
saucy	saucier	sauciest
scabby	scabbier	scabbiest
scaly	scalier	scaliest
scanty	scantier	scantiest
scarce	scarcer	scarcest
scary	scarier	scariest
scatty	scattier	scattiest
schmaltzy	schmaltzier	schmaltziest
schmalzy	schmalzier	schmalziest
scraggy	scraggier	scraggiest
scrappy	scrappier	scrappiest
scratchy	scratchier	scratchiest
scrawny	scrawnier	scrawniest
screwy	screwier	screwiest
scrubby	scrubbier	scrubbiest
scruffy	scruffier	scruffiest
scummy	scummier	scummiest
scurfy	scurfier	scurfiest
seamy	seamier	seamiest
sedgy	sedgier	sedgiest
seedy	seedier	seediest
seemly	seemlier	seemliest
severe	severer	severest
sexy	sexier	sexiest
shabby	shabbier	shabbiest
shadowy	shadowier	shadowiest
shady	shadier	shadiest
shaggy	shaggier	shaggiest
shaky	shakier	shakiest
shapely	shapelier	shapeliest
sharp	sharper	sharpest
sheer	sheerer	sheerest
shifty	shiftier	shiftiest
shingly	shinglier	shingliest
shiny	shinier	shiniest
shirty	shirtier	shirtiest
shoddy	shoddier	shoddiest
short	shorter	shortest
showery	showerier	showeriest
showy	showier	showiest
shrewd	shrewder	shrewdest
shrill	shriller	shrillest
shy	shyer	shyest
sickly	sicklier	sickliest
silky	silkier	silkiest
silly	sillier	silliest
silvery	silverier	silveriest
simple	simpler	simplest
sketchy	sketchier	sketchiest
skimpy	skimpier	skimpiest
skinny	skinnier	skinniest
slack	slacker	slackest
slangy	slangier	slangiest
slaty	slatier	slatiest
sleazy	sleazier	sleaziest
sleek	sleeker	sleekest
sleepy	sleepier	sleepiest
sleety	sleetier	sleetiest
slick	slicker	slickest
slight	slighter	slightest
slim	slimmer	slimmest
slimy	slimier	slimiest
slippery	slipperier	slipperiest
sloppy	sloppier	sloppiest
slovenly	slovenlier	slovenliest
slow	slower	slowest
slummy	slummier	slummiest
slushy	slushier	slushiest
sly	slyer	slyest
small	smaller	smallest
smart	smarter	smartest
smelly	smellier	smelliest
smoky	smokier	smokiest
smooth	smoother	smoothest
smug	smugger	smuggest
smutty	smuttier	smuttiest
snaky	snakier	snakiest
snappy	snappier	snappiest
sneaky	sneakier	sneakiest
sniffy	sniffier	sniffiest
snooty	snootier	snootiest
snorty	snortier	snortiest
snotty	snottier	snottiest
snowy	snowier	snowiest
snug	snugger	snuggest
soapy	soapier	soapiest
soft	softer	softest
soggy	soggier	soggiest
soon	sooner	soonest
sooty	sootier	sootiest
soppy	soppier	soppiest
sorry	sorrier	sorriest
speedy	speedier	speediest
spicy	spicier	spiciest
spiky	spikier	spikiest
spindly	spindlier	spindliest
spiny	spinier	spiniest
spongy	spongier	spongiest
spooky	spookier	spookiest
spotty	spottier	spottiest
sprightly	sprightlier	sprightliest
springy	springier	springiest
spry	spryer	spryest
spunky	spunkier	spunkiest
squashy	squashier	squashiest
squeaky	squeakier	squeakiest
squiggly	squigglier	squiggliest
stale	staler	stalest
starchy	starchier	starchiest
starry	starrier	starriest
stately	statelier	stateliest
steady	steadier	steadiest
stealthy	stealthier	stealthiest
steamy	steamier	steamiest
steely	steelier	steeliest
steep	steeper	steepest
stern	sterner	sternest
sticky	stickier	stickiest
stiff	stiffer	stiffest
still	stiller	stillest
stingy	stingier	stingiest
stocky	stockier	stockiest
stodgy	stodgier	stodgiest
stony	stonier	stoniest
stormy	stormier	stormiest
stout	stouter	stoutest
straggly	stragglier	straggliest
strange	stranger	strangest
streaky	streakier	streakiest
strict	stricter	strictest
stringy	stringier	stringiest
stripy	stripier	stripiest
strong	stronger	strongest
stubbly	stubblier	stubbliest
stubby	stubbier	stubbiest
stuffy	stuffier	stuffiest
stumpy	stumpier	stumpiest
sturdy	sturdier	sturdiest
subtle	subtler	subtlest
sugary	sugarier	sugariest
sulky	sulkier	sulkiest
sultry	sultrier	sultriest
summery	summerier	summeriest
sunny	sunnier	sunniest
supple	suppler	supplest
sure	surer	surest
surly	surlier	surliest
swampy	swampier	swampiest
swanky	swankier	swankiest
sweaty	sweatier	sweatiest
sweet	sweeter	sweetest
swift	swifter	swiftest
tacky	tackier	tackiest
tall	taller	tallest
tame	tamer	tamest
tangy	tangier	tangiest
tardy	tardier	tardiest
tasty	tastier	tastiest
tatty	tattier	tattiest
taut	tauter	tautest
tawdry	tawdrier	tawdriest
teeny	teenier	teeniest
tender	tenderer	tenderest
tense	tenser	tensest
terse	terser	tersest
testy	testier	testiest
tetchy	tetchier	tetchiest
thick	thicker	thickest
thin	thinner	thinnest
thirsty	thirstier	thirstiest
thorny	thornier	thorniest
thrifty	thriftier	thriftiest
throaty	throatier	throatiest
tidy	tidier	tidiest
tight	tighter	tightest
timely	timelier	timeliest
tinny	tinnier	tinniest
tiny	tinier	tiniest
touchy	touchier	touchiest
tough	tougher	toughest
trashy	trashier	trashiest
trendy	trendier	trendiest
tricky	trickier	trickiest
trim	trimmer	trimmest
true	truer	truest
trusty	trustier	trustiest
tubby	tubbier	tubbiest
twiggy	twiggier	twiggiest
twisty	twistier	twistiest
ugly	uglier	ugliest
unhappy	unhappier	unhappiest
unruly	unrulier	unruliest
untidy	untidier	untidiest
vague	vaguer	vaguest
vain	vainer	vainest
vile	viler	vilest
wan	wanner	wannest
warm	warmer	warmest
wary	warier	wariest
watery	waterier	wateriest
wavy	wavier	waviest
waxy	waxier	waxiest
weak	weaker	weakest
weakly	weaklier	weakliest
wealthy	wealthier	wealthiest
weary	wearier	weariest
weedy	weedier	weediest
weeny	weenier	weeniest
weighty	weightier	weightiest
weird	weirder	weirdest
well	better	best
wet	wetter	wettest
wheezy	wheezier	wheeziest
whippy	whippier	whippiest
white	whiter	whitest
wide	wider	widest
wifely	wifelier	wifeliest
wild	wilder	wildest
wily	wilier	wiliest
windy	windier	windiest
wintery	winterier	winteriest
wintry	wintrier	wintriest
wiry	wirier	wiriest
wise	wiser	wisest
wispy	wispier	wispiest
witty	wittier	wittiest
wobbly	wobblier	wobbliest
womanly	womanlier	womanliest
woody	woodier	woodiest
woolly	woollier	woolliest
wooly	woolier	wooliest
wordy	wordier	wordiest
worldly	worldlier	worldliest
wormy	wormier	wormiest
worthy	worthier	worthiest
wrinkly	wrinklier	wrinkliest
wrong	wronger	wrongest
wry	wrier	wriest
yeasty	yeastier	yeastiest
yellow	yellower	yellowest
young	younger	youngest
zany	zanier	zaniest
